City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Trelew,AR,-43.249,-65.3051,72.7,21,100,21.94,overcast clouds
298,Haradok,BY,55.4624,29.9816,9.91,96,27,2.53,scattered clouds
299,Namatanai,PG,-3.6667,152.4333,79.68,81,100,3.6,light rain
300,Salalah,OM,17.0151,54.0924,69.8,26,0,12.66,clear sky
301,Sur,OM,22.5667,59.5289,65.48,44,0,12.15,clear sky
302,Ahipara,NZ,-35.1667,173.1667,67.06,65,44,9.51,scattered clouds
303,Dudinka,RU,69.4058,86.1778,-13.95,89,100,9.55,light snow
304,Causapscal,CA,48.3542,-67.227,21.0,58,32,6.2,scattered clouds
305,Bubaque,GW,11.2833,-15.8333,79.68,69,0,17.67,clear sky
306,Ushtobe,KZ,45.2514,77.9838,13.14,76,0,3.67,clear sky
307,Oriximina,BR,-1.7656,-55.8661,86.05,62,81,1.41,light rain
308,Leningradskiy,RU,69.3833,178.4167,-21.73,83,87,8.52,overcast clouds
309,Iskateley,RU,67.6803,53.1512,-8.01,91,42,3.89,scattered clouds
310,Burla,IN,21.5,83.8667,68.65,57,50,1.66,scattered clouds
311,Vila,PT,42.0304,-8.1588,36.0,73,0,14.0,clear sky
312,Mujiayingzi,CN,42.1167,118.7833,1.6,85,100,6.49,overcast clouds
313,Xining,CN,36.6167,101.7667,0.27,68,0,3.58,clear sky
314,Leninskoye,KZ,41.7589,69.3864,26.6,86,0,4.61,mist
315,Nouadhibou,MR,20.931,-17.0347,64.4,63,39,18.41,sand
316,Kota Belud,MY,6.351,116.4305,77.0,94,20,4.61,moderate rain
317,Coria,ES,39.9879,-6.5377,37.0,70,25,8.01,scattered clouds
318,Lhokseumawe,ID,5.1801,97.1507,75.36,86,100,4.59,moderate rain
319,Jibuti,DJ,11.5,42.5,75.2,69,20,3.44,haze
320,Harper,LR,4.375,-7.7169,79.81,82,25,5.7,scattered clouds
321,Kruisfontein,ZA,-34.0033,24.7314,64.99,80,100,1.99,overcast clouds
322,Makasar,ID,-5.14,119.4221,77.0,100,40,1.14,very heavy rain
323,Samarai,PG,-10.6167,150.6667,82.78,78,100,9.57,moderate rain
324,Mahon,ES,39.8885,4.2658,50.0,93,75,17.27,light rain
325,Vila Franca Do Campo,PT,37.7167,-25.4333,55.4,88,75,10.36,broken clouds
326,Vao,NC,-22.6667,167.4833,78.04,88,100,13.94,overcast clouds
327,Pucallpa,PE,-8.3791,-74.5539,91.4,49,40,5.75,scattered clouds
328,Evensk,RU,61.95,159.2333,1.47,80,88,16.08,overcast clouds
329,Kieta,PG,-6.2167,155.6333,82.17,73,99,1.23,overcast clouds
330,Canavieiras,BR,-15.675,-38.9472,82.4,83,75,4.61,broken clouds
331,Chala,TZ,-7.5833,31.2667,62.6,88,75,2.8,broken clouds
332,Luanda,AO,-8.8368,13.2343,77.0,78,20,6.91,few clouds
333,Naco,MX,31.3347,-109.9483,50.0,30,0,10.0,clear sky
334,Da Lat,VN,11.9465,108.4419,50.56,99,5,5.14,clear sky
335,Fort Nelson,CA,58.8053,-122.7002,12.2,79,20,4.61,few clouds
336,Fortuna,US,40.5982,-124.1573,57.99,93,90,3.0,overcast clouds
337,Izumo,JP,35.3667,132.7667,33.8,93,75,5.75,light snow
338,Jonesboro,US,35.8423,-90.7043,33.8,60,90,6.91,overcast clouds
339,Alamosa,US,37.4695,-105.87,30.2,43,1,3.44,clear sky
340,Clyde River,CA,70.4692,-68.5914,5.0,85,75,16.11,snow
341,Manono,CD,-7.3,27.4167,67.71,95,98,2.59,overcast clouds
342,Kenmare,IE,51.8833,-9.5833,40.19,87,97,4.68,overcast clouds
343,Carutapera,BR,-1.195,-46.02,79.48,83,100,7.34,overcast clouds
344,Narsaq,GL,60.9167,-46.05,41.0,38,90,23.02,overcast clouds
345,San Andres,CO,12.5847,-81.7006,82.4,78,75,10.36,light rain
346,Dawson Creek,CA,55.7666,-120.2362,44.6,49,1,12.66,clear sky
347,Seguela,CI,7.9611,-6.6731,85.39,38,76,6.35,broken clouds
